Gene	HGNC_Id	Entrez_Gene_Id	Condition	Inheritance	Age_Group	Allelic_Conditions	Manifestation_Categories	Intervention_Categories	Comments	Intervention_Rationale	Refs
FAM111B	24200	374393	Hereditary Fibrosing Poikiloderma with Tendon Contracture, Myopathy, and Pulmonary Fibrosis	AD	N/A	N/A	Dermatologic; Musculoskeletal; Pulmonary	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	24268661
FAM126A	24587	84668	Leukodystrophy, hypomyelinating, 5	AR	N/A	N/A	Neurologic; Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	16951682
FAM134B	25964	54463	Neuropathy, hereditary sensory and autonomic, type IIB	AR	N/A	N/A	Neurologic	General	Insensitivity to pain can result in injuries and infections	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	19838196
FAM161A	25808	84140	Retitinis pigmentosa 28	AR	N/A	N/A	Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	10507729; 20705279; 20705278  
FAM20A	23015	54757	Amelogenesis imperfecta and gingival fibromatosis syndrome; Ameliogenesis imperfecta, hypoplastic; Enamel renal syndrome	AR	N/A	N/A	Dental	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	18597613; 21549343; 21990045; 23434854 
FAM20C	22140	56975	Hypophosphatemia,hyperphosphaturia, dental anomalies, intracerebral calcifications and osteosclerosis (Raine syndrome)	AR	Pediatric		Craniofacial; Dental; Musculoskeletal; Neurologic; Renal	Renal		The condition includes hypophosphatemia an urinary phosphate wasting, and medical management  (with oral phosphate supplements) has been described, and may be beneficial	2614802; 2020859; 12868469; 14564151; 17924334; 19250384; 20825432; 23325605 
FAM58A	28434	92002	STAR syndrome; Toe syndactyly, telecanthus, and anogenital and renal malformations	XL	N/A	N/A	Craniofacial; Gastrointestinal; Genitourinary; Musculoskeletal; Renal	General	The condition can involve multiple congenital anomalies	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	8818947; 18297069
FAM83H	24797	286077	Amelogenesis imperfecta, type 3	AD	N/A	N/A	Dental	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	18252228; 18484629; 19220331; 19407157; 21702852; 23355523 
FAN1	29170	22909	Interstitial nephritis, karyomegalic	AR	N/A	N/A	Gastrointestinal; Renal	General	Individuals may suffer renal failure, and renal transplant has been described	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	7847351; 8546134; 16678356; 17304531; 22772369
FANCA	3582	2175	Fanconi anemia, complementation group A	AR	Pediatric		Audiologic/Otolaryngologic; Allergy/Immunology/Infectious; Dermatologic; Gastrointestinal; Hematologic; Musculoskeletal; Neurologic; Oncologic; Ophthalmologic; Renal	Allergy/Immunology/Infectious; Hematologic; Oncologic	Individuals with FA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	Specific treatments can help manifestations (eg, oral androgens for blood counts; G-CSF for neutrophil count); HSCT can be curative, but solid tumor risk may remain; Surveillance for complications such as bone marrow failure is recommended	13826667; 6338978; 2571931; 1536187; 1521091; 8502512; 8081006; 8781414; 9371798; 10094191; 11389461; 14504102; 14605744; 17105750; 20301575; 20507306; 21273304; 22480464; 22950077; 23067021; 23898106; 23973728
FANCB	3583	2187	Fanconi anemia,complementation group B	XL	Pediatric		Audiologic/Otolaryngologic; Allergy/Immunology/Infectious; Dermatologic; Gastrointestinal; Hematologic; Musculoskeletal; Neurologic; Oncologic; Ophthalmologic; Renal	Allergy/Immunology/Infectious; Hematologic; Oncologic	Individuals with FA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	Specific treatments can help manifestations (eg, oral androgens for blood counts; G-CSF for neutrophil count); HSCT can be curative, but solid tumor risk may remain; Surveillance for complications such as bone marrow failure is recommended	15502827; 16679491; 20301575; 21910217; 22052692 
FANCC	3584	2176	Fanconi anemia, complementation group C	AR	Pediatric		Audiologic/Otolaryngologic; Allergy/Immunology/Infectious; Dermatologic; Gastrointestinal; Hematologic; Musculoskeletal; Neurologic; Oncologic; Ophthalmologic; Renal	Allergy/Immunology/Infectious; Hematologic; Oncologic	Individuals with FA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	Specific treatments can help manifestations (eg, oral androgens for blood counts; G-CSF for neutrophil count); HSCT can be curative, but solid tumor risk may remain; Surveillance for complications such as bone marrow failure is recommended	1574115; 9272737; 10431244; 20301575; 22160080; 22701786; 23028338 
FANCD2	3585	2177	Fanconi anemia, complementation group D2	AR	Pediatric		Audiologic/Otolaryngologic; Allergy/Immunology/Infectious; Dermatologic; Gastrointestinal; Hematologic; Musculoskeletal; Neurologic; Oncologic; Ophthalmologic; Renal	Allergy/Immunology/Infectious; Hematologic; Oncologic	Individuals with FA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	Specific treatments can help manifestations (eg, oral androgens for blood counts; G-CSF for neutrophil count); HSCT can be curative, but solid tumor risk may remain; Surveillance for complications such as bone marrow failure is recommended	17436244; 20301575; 22720145; 23285130  
FANCE	3586	2178	Fanconi anemia, complementation group E	AR	Pediatric		Audiologic/Otolaryngologic; Allergy/Immunology/Infectious; Dermatologic; Gastrointestinal; Hematologic; Musculoskeletal; Neurologic; Oncologic; Ophthalmologic; Renal	Allergy/Immunology/Infectious; Hematologic; Oncologic	Individuals with FA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	Specific treatments can help manifestations (eg, oral androgens for blood counts; G-CSF for neutrophil count); HSCT can be curative, but solid tumor risk may remain; Surveillance for complications such as bone marrow failure is recommended	11001585; 17924555; 20301575; 22778927 
FANCF	3587	2188	Fanconia anemia, complementation group F	AR	Pediatric		Audiologic/Otolaryngologic; Allergy/Immunology/Infectious; Dermatologic; Gastrointestinal; Hematologic; Musculoskeletal; Neurologic; Oncologic; Ophthalmologic; Renal	Allergy/Immunology/Infectious; Hematologic; Oncologic	Individuals with FA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	Specific treatments can help manifestations (eg, oral androgens for blood counts; G-CSF for neutrophil count); HSCT can be curative, but solid tumor risk may remain; Surveillance for complications such as bone marrow failure is recommended	10615118; 20301575
FANCG	3588	2189	Fanconi anemia type G	AR	Pediatric		Audiologic/Otolaryngologic; Allergy/Immunology/Infectious; Dermatologic; Gastrointestinal; Hematologic; Musculoskeletal; Neurologic; Oncologic; Ophthalmologic; Renal	Allergy/Immunology/Infectious; Hematologic; Oncologic	Individuals with FA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	Specific treatments can help manifestations (eg, oral androgens for blood counts; G-CSF for neutrophil count); HSCT can be curative, but solid tumor risk may remain; Surveillance for complications such as bone marrow failure is recommended	9806548; 20301575
FANCI	25568	55215	Fanconi anemia, complementation group I	AR	Pediatric		Audiologic/Otolaryngologic; Allergy/Immunology/Infectious; Dermatologic; Gastrointestinal; Hematologic; Musculoskeletal; Neurologic; Oncologic; Ophthalmologic; Renal	Allergy/Immunology/Infectious; Hematologic; Oncologic	Individuals with FA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	Specific treatments can help manifestations (eg, oral androgens for blood counts; G-CSF for neutrophil count); HSCT can be curative, but solid tumor risk may remain; Surveillance for complications such as bone marrow failure is recommended	14630800; 17452773; 17460694; 17412408; 20301575; 21568838
FANCL	20748	55120	Fanconi anemia type L	AR	Pediatric		Audiologic/Otolaryngologic; Allergy/Immunology/Infectious; Dermatologic; Gastrointestinal; Hematologic; Musculoskeletal; Neurologic; Oncologic; Ophthalmologic; Renal	Allergy/Immunology/Infectious; Hematologic; Oncologic	Individuals with FA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	Specific treatments can help manifestations (eg, oral androgens for blood counts; G-CSF for neutrophil count); HSCT can be curative, but solid tumor risk may remain; Surveillance for complications such as bone marrow failure is recommended	12973351; 20301575; 22720145 
FANCM	23168	57697	Fanconi anemia type M	AR	Pediatric		Audiologic/Otolaryngologic; Allergy/Immunology/Infectious; Dermatologic; Gastrointestinal; Hematologic; Musculoskeletal; Neurologic; Oncologic; Ophthalmologic; Renal	Allergy/Immunology/Infectious; Hematologic; Oncologic	Individuals with FA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	Specific treatments can help manifestations (eg, oral androgens for blood counts; G-CSF for neutrophil count); HSCT can be curative, but solid tumor risk may remain; Surveillance for complications such as bone marrow failure is recommended	16116422; 20301575
FARS2	21062	10667	Combined oxidative phosphorylation deficiency 14	AR	N/A	N/A	Biochemical; Musculoskeletal; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	22499341; 22833457
FAS	11920	355	Autoimmune lymphoproliferative syndrome, type IA	AD/AR	Pediatric		Allergy/Immunology/Infectious; Hematologic; Oncologic; Renal	Allergy/Immunology/Infectious; Oncologic		Lymphoproliferation can be suppressed with medications such as corticosteroids, cyclosporine, tacrolimus, sirolimus, and mycophenolate mofetil; BMT/HSCT the only curative treatment for ALPS, has to date mostly been reported in patients with severe clinical findings; Surveillance for manifestations of lymphoproliferation and autoimmunity, and specialized imaging studies to detect malignant transformation may be beneficial 	4165068; 1386609; 7540117; 8929361; 10709732; 15459302; 20301287 
FASLG	11936	356	Autoimmune lymphoproliferative syndrome, type IB	AD	Pediatric		Allergy/Immunology/Infectious; Hematologic; Oncologic; Renal	Allergy/Immunology/Infectious; Oncologic	Biallelic mutations have been described as resulting in more severe presentations, including as relates to autoimmunity and lymphoproliferation	Lymphoproliferation can be suppressed with medications such as corticosteroids, cyclosporine, tacrolimus, sirolimus, and mycophenolate mofetil; BMT/HSCT the only curative treatment for ALPS, has to date mostly been reported in patients with severe clinical findings; Surveillance for manifestations of lymphoproliferation and autoimmunity, and specialized imaging studies to detect malignant transformation may be beneficial	8787672; 15004557; 16627752; 17605793; 20301287
